"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"231","Continente não especificado",2008-03-01,0,0,1,0,45,0.0909090909090909
"232","Continente não especificado",2008-04-01,0,0,1,0,21,-0.631578947368421
"233","Continente não especificado",2008-05-01,0,0,1,0,41,0.444444444444444
"234","Continente não especificado",2008-06-01,0,0,0,1,19,-1.04761904761905
"235","Continente não especificado",2008-07-01,0,0,0,1,88,1.68292682926829
"236","Continente não especificado",2008-08-01,0,0,0,1,76,-0.631578947368421
"237","Continente não especificado",2008-09-01,0,1,0,0,20,-0.636363636363636
"238","Continente não especificado",2008-10-01,0,1,0,0,18,-0.0263157894736842
"239","Continente não especificado",2008-11-01,0,1,0,0,56,1.9
"240","Continente não especificado",2008-12-01,1,0,0,0,64,0.444444444444444
"241","Continente não especificado",2009-01-01,1,0,0,0,9,-0.982142857142857
"242","Continente não especificado",2009-02-01,1,0,0,0,17,0.125
"243","Continente não especificado",2009-03-01,0,0,1,0,10,-0.777777777777778
"244","Continente não especificado",2009-04-01,0,0,1,0,6,-0.235294117647059
"245","Continente não especificado",2009-05-01,0,0,1,0,7,0.1
"246","Continente não especificado",2009-06-01,0,0,0,1,6,-0.166666666666667
"247","Continente não especificado",2009-07-01,0,0,0,1,21,2.14285714285714
"248","Continente não especificado",2009-08-01,0,0,0,1,15,-1
"249","Continente não especificado",2009-09-01,0,1,0,0,10,-0.238095238095238
"250","Continente não especificado",2009-10-01,0,1,0,0,3,-0.466666666666667
"251","Continente não especificado",2009-11-01,0,1,0,0,12,0.9
"252","Continente não especificado",2009-12-01,1,0,0,0,10,-0.666666666666667
"253","Continente não especificado",2010-01-01,1,0,0,0,14,0.333333333333333
"254","Continente não especificado",2010-02-01,1,0,0,0,4,-1
"255","Continente não especificado",2010-03-01,0,0,1,0,24,1.42857142857143
"256","Continente não especificado",2010-04-01,0,0,1,0,6,-4.5
"257","Continente não especificado",2010-05-01,0,0,1,0,14,0.333333333333333
"258","Continente não especificado",2010-06-01,0,0,0,1,9,-0.833333333333333
"259","Continente não especificado",2010-07-01,0,0,0,1,20,0.785714285714286
"260","Continente não especificado",2010-08-01,0,0,0,1,10,-1.11111111111111
"261","Continente não especificado",2010-09-01,0,1,0,0,5,-0.25
"262","Continente não especificado",2010-10-01,0,1,0,0,3,-0.2
"263","Continente não especificado",2010-11-01,0,1,0,0,16,2.6
"264","Continente não especificado",2010-12-01,1,0,0,0,15,-0.333333333333333
"265","Continente não especificado",2011-01-01,1,0,0,0,28,0.8125
"266","Continente não especificado",2011-02-01,1,0,0,0,39,0.733333333333333
"267","Continente não especificado",2011-03-01,0,0,1,0,37,-0.0714285714285714
"268","Continente não especificado",2011-04-01,0,0,1,0,18,-0.487179487179487
"269","Continente não especificado",2011-05-01,0,0,1,0,11,-0.189189189189189
"270","Continente não especificado",2011-06-01,0,0,0,1,15,0.222222222222222
"271","Continente não especificado",2011-07-01,0,0,0,1,20,0.454545454545455
"272","Continente não especificado",2011-08-01,0,0,0,1,8,-0.8
"273","Continente não especificado",2011-09-01,0,1,0,0,21,0.65
"274","Continente não especificado",2011-10-01,0,1,0,0,11,-1.25
"275","Continente não especificado",2011-11-01,0,1,0,0,20,0.428571428571429
"276","Continente não especificado",2011-12-01,1,0,0,0,22,0.181818181818182
